"Table with row headers in column A, and column headers in rows 5 through 544. Leading dots indicate subparts. ",,,,,,,,
"Table 1. Full-Time, Year-Round Workers and Median Earnings in 1999 by Sex and Detailed Occupation1: 20002",,,,,,,,
"Full-time, year-round civilian employed 16 years and older (estimates) and full-time, year-round civilian employed 16 years and older with earnings (medians)3",,,,,,,,
,,,,,,,,
,"Number of Full-Time, Year-Round Workers4",,,Percentage of women in occupational group,Median Earnings (dollars),,,Women's earnings as a percentage of men's earnings
Occupational Category,Total,Men,Women,,Total,Men,Women,
,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate,Estimate
"..Library assistants, clerical","42,450","6,850","35,600",83.9,"22,265","24,170","21,992",91.0
..Loan interviewers and clerks,"88,740","13,920","74,830",84.3,"28,033","35,022","27,208",77.7
..New accounts clerks,"11,630","1,620","10,020",86.1,"24,204","30,979","23,345",75.4
..Order clerks,"96,170","36,310","59,850",62.2,"24,073","26,933","22,391",83.1
"..Human resources assistants, except payroll and timekeeping","36,910","6,710","30,200",81.8,"28,402","35,289","27,422",77.7
..Receptionists and information clerks,"476,580","30,140","446,440",93.7,"20,908","26,136","20,723",79.3
..Reservation and transportation ticket agents and travel clerks,"113,600","42,870","70,730",62.3,"27,396","33,211","25,317",76.2
"..Information and record clerks, all other","42,680","7,580","35,100",82.2,"25,598","31,879","24,786",77.8
..Cargo and freight agents,"14,310","10,660","3,650",25.5,"32,625","35,785","27,489",76.8
..Couriers and messengers,"103,970","86,260","17,720",17.0,"27,007","27,983","22,790",81.4
..Dispatchers,"186,580","92,340","94,240",50.5,"29,522","33,596","26,034",77.5
"..Meter readers, utilities","32,750","27,540","5,210",15.9,"29,464","29,727","28,228",95.0
..Postal service clerks,"127,010","64,480","62,530",49.2,"39,727","40,757","38,643",94.8
..Postal service mail carriers,"282,690","202,120","80,570",28.5,"39,726","40,622","36,853",90.7
"..Postal service mail sorters, processors, and processing machine operators","97,120","53,180","43,940",45.2,"39,195","40,428","37,739",93.3
"..Production, planning, and expediting clerks","258,500","127,830","130,680",50.6,"35,385","41,799","29,823",71.3
"..Shipping, receiving, and traffic clerks","439,060","312,470","126,590",28.8,"24,581","25,921","21,508",83.0
..Stock clerks and order fillers,"605,170","383,230","221,930",36.7,"22,391","24,147","20,791",86.1
"..Weighers, measurers, checkers, and samplers, recordkeeping","48,940","28,380","20,560",42.0,"26,836","31,195","22,514",72.2
..Secretaries and administrative assistants,"2,409,830","79,160","2,330,670",96.7,"26,522","31,665","26,410",83.4
..Computer operators,"183,700","92,000","91,700",49.9,"30,807","35,994","26,770",74.4
..Data entry keyers,"325,930","54,310","271,630",83.3,"22,910","26,739","22,323",83.5
..Word processors and typists,"97,090","5,510","91,580",94.3,"24,859","28,638","24,672",86.2
..Desktop publishers,"9,950","3,770","6,180",62.1,"32,342","38,297","30,762",80.3
..Insurance claims and policy processing clerks,"158,080","22,980","135,100",85.5,"26,471","36,187","25,726",71.1
"..Mail clerks and mail machine operators, except postal service","82,410","41,910","40,500",49.1,"21,737","23,500","20,499",87.2
"..Office clerks, general","736,160","110,210","625,950",85.0,"24,597","28,095","24,010",85.5
"..Office machine operators, except computer","32,890","14,350","18,540",56.4,"22,285","25,712","20,627",80.2
..Proofreaders and copy markers,"10,870","3,120","7,750",71.3,"26,359","30,304","25,138",83.0
..Statistical assistants,"22,620","7,720","14,900",65.9,"31,104","38,068","29,190",76.7
"..Office and administrative support workers, all other","339,300","94,400","244,900",72.2,"29,891","37,129","27,691",74.6
"Farming, fishing, and forestry occupations:","425,480","362,930","62,540",14.7,"19,771","20,450","15,942",78.0
".Agriculture workers, including supervisors:","344,150","284,750","59,410",17.3,"18,763","19,502","15,860",81.3
"..First-line supervisors/managers of farming, fishing, and forestry workers","37,010","32,070","4,940",13.3,"29,983","30,752","22,319",72.6
..Agricultural inspectors,"8,680","6,370","2,310",26.6,"36,095","37,510","32,072",85.5
..Animal breeders,"3,580","2,110",1470,41.0,"20,917","23,006","15,612",67.9
"..Graders and sorters, agricultural products","11,780","5,540","6,240",53.0,"18,231","23,905","15,777",66.0
..Miscellaneous agricultural workers,"283,100","238,660","44,450",15.7,"17,439","18,050","15,051",83.4
".Fishing and hunting, and forest and logging occupations:","81,320","78,190","3,140",3.9,"24,419","24,717","18,333",74.2
..Fishers and related fishing workers,"18,970","18,300",680,3.6,"25,221","25,388","17,499",68.9
..Hunters and trappers,710,630,80,11.3,"23,829","23,561","25,147",(X)
..Forest and conservation workers,"8,710","7,720",990,11.4,"22,691","23,311","17,944",77.0
..Logging workers,"52,930","51,540","1,390",2.6,"24,507","24,728","18,374",74.3
"Construction, extraction, maintenance, and repair occupations:","8,548,750","8,264,600","284,140",3.3,"32,633","32,836","29,945",91.2
.Construction and extraction occupations:,"4,584,460","4,472,020","112,430",2.5,"31,576","31,682","26,225",82.8
..First-line supervisors/managers of construction trades and extraction workers,"720,740","703,630","17,110",2.4,"41,441","41,572","32,392",77.9
..Boilermakers,"11,250","10,890",350,3.1,"38,499","38,865","26,086",(X)
"..Brickmasons, blockmasons, and stonemasons","101,810","100,770",1040,1.0,"29,919","30,019","21,352",71.1
..Carpenters,"803,840","791,770","12,070",1.5,"28,706","28,814","23,598",81.9
"..Carpet, floor, and tile installers and finishers","129,130","126,440","2,690",2.1,"28,808","29,007","22,785",78.6
"..Cement masons, concrete finishers, and terrazzo workers","43,820","43,340",480,1.1,"27,135","27,151","23,606",(X)
..Construction laborers,"578,650","562,850","15,800",2.7,"25,702","25,773","22,074",85.6
"..Paving, surfacing, and tamping equipment operators","7,230","6,960",270,3.7,"27,086","27,358","18,347",(X)
..Pile-driver operators,"1,110","1,100",10,0.9,"41,503","41,637",-,(X)
..Operating engineers and other construction equipment operators,"224,000","220,220","3,790",1.7,"32,103","32,174","27,060",84.1
"..Drywall installers, ceiling tile installers, and tapers","98,850","96,690","2,160",2.2,"26,924","27,007","22,075",81.7
..Electricians,"533,790","522,180",11600,2.2,"37,443","37,598","30,469",81.0
..Glaziers,"34,250","32,970",1290,3.8,"30,424","30,622","21,919",71.6
..Insulation workers,"25,320","24,420",900,3.6,"30,140","30,309","24,051",79.4
"..Painters, construction and maintenance","269,460","255,350",14110,5.2,"25,709","25,928","21,020",81.1
..Paperhangers,"8,300","6,630","1,670",20.1,"28,777","30,718","21,564",70.2
"..Pipelayers, plumbers, pipefitters, and steamfitters","380,780","375,130",5650,1.5,"35,104","35,173","28,952",82.3
..Plasterers and stucco masons,"22,200","21,930",270,1.2,"26,425","26,486","22,949",(X)
..Reinforcing iron and rebar workers,"3,530","3,430",90,2.5,"31,011","30,909","43,000",(X)
..Roofers,"98,760","97,080","1,680",1.7,"25,046","25,091","22,907",91.3
..Sheet metal workers,"114,110","109,690","4,420",3.9,"32,806","33,246","27,198",81.8
..Structural iron and steel workers,"46,800","45,810",990,2.1,"35,107","35,268","29,524",83.7
"..Helpers, construction trades","28,780","27,560","1,230",4.3,"20,485","20,449","21,182",103.6
..Construction and building inspectors,"60,410","54,970",5440,9.0,"38,676","39,507","31,419",79.5
..Elevator installers and repairers,"22,220","21,980",230,1.0,"51,778","51,837","32,222",(X)
