Year,OccupationalCategory,Men,Women,Percentage
2000,Farming fishing and forestry occupations:,20450,15942,78
2000,Agriculture workers including supervisors:,19502,15860,81.3
2000,First-line supervisors/managers of farming fishing and forestry workers,30752,22319,72.6
2000,Agricultural inspectors,37510,32072,85.5
2000,Animal breeders,23006,15612,67.9
2000,Graders and sorters agricultural products,23905,15777,66
2000,Miscellaneous agricultural workers,18050,15051,83.4
2000,Fishing and hunting and forest and logging occupations:,24717,18333,74.2
2000,Fishers and related fishing workers,25388,17499,68.9
2000,Hunters and trappers,23561,25147,0
2000,Forest and conservation workers,23311,17944,77
2000,Logging workers,24728,18374,74.3
2000,Construction extraction maintenance and repair occupations:,32836,29945,91.2
2000,Construction and extraction occupations:,31682,26225,82.8
2000,First-line supervisors/managers of construction trades and extraction workers,41572,32392,77.9
2000,Boilermakers,38865,26086,0
2000,Brickmasons blockmasons and stonemasons,30019,21352,71.1
2000,Carpenters,28814,23598,81.9
2000,Carpet floor and tile installers and finishers,29007,22785,78.6
2000,Cement masons concrete finishers and terrazzo workers,27151,23606,0
2000,Construction laborers,25773,22074,85.6
2000,Paving surfacing and tamping equipment operators,27358,18347,0
2000,Pile-driver operators,41637,0,0
2000,Operating engineers and other construction equipment operators,32174,27060,84.1
2000,Drywall installers ceiling tile installers and tapers,27007,22075,81.7
2000,Electricians,37598,30469,81
2000,Glaziers,30622,21919,71.6
2000,Insulation workers,30309,24051,79.4
2000,Painters construction and maintenance,25928,21020,81.1
2000,Paperhangers,30718,21564,70.2
2000,Pipelayers plumbers pipefitters and steamfitters,35173,28952,82.3
2000,Plasterers and stucco masons,26486,22949,0
2000,Reinforcing iron and rebar workers,30909,43000,0
2000,Roofers,25091,22907,91.3
2000,Sheet metal workers,33246,27198,81.8
2000,Structural iron and steel workers,35268,29524,83.7
2000,Helpers construction trades,20449,21182,103.6
2000,Construction and building inspectors,39507,31419,79.5
2000,Elevator installers and repairers,51837,32222,0
2000,Fence erectors,24342,18636,0
2000,Hazardous materials removal workers,32372,35206,108.8
2000,Highway maintenance workers,28379,27623,97.3
2000,Rail-track laying and maintenance equipment operators,38366,40833,0
2000,Septic tank servicers and sewer pipe cleaners,30153,19712,0
2000,Miscellaneous construction and related workers,29458,24154,82
2000,Derrick rotary drill and service unit operators oil gas and mining,32026,38917,0
2000,Earth drillers except oil and gas,32431,26364,0
2000,Explosives workers ordnance handling experts and blasters,34551,30526,0
2000,Mining machine operators,42318,38949,92
2000,Roof bolters mining,43591,0,0
2000,Roustabouts oil and gas,27222,31786,0
2000,Helpers--extraction workers,27315,31250,0
2000,Other extraction workers,31251,34750,0
2000,Installation maintenance and repair occupations:,35157,31844,90.6
2000,First-line supervisors/managers of mechanics installers and repairers,43260,39360,91
2000,Computer automated teller and office machine repairers,35691,31052,87
2000,Radio and telecommunications equipment installers and repairers,42920,41865,97.5
2000,Avionics technicians,41543,35090,84.5
2000,Electric motor power tool and related repairers,33084,30565,92.4
2000,Electrical and electronics installers and repairers transportation equipment,32652,26902,0
2000,Electrical and electronics repairers industrial and utility,50025,41554,83.1
2000,Electronic equipment installers and repairers motor vehicles,52085,48313,92.8
2000,Electronic home entertainment equipment installers and repairers,27398,26301,96
2000,Security and fire alarm systems installers,31508,26278,83.4
